,Location,Date,Time,Total
7,15th / Bannock,2013-05-07,PM,104.0
8,15th / Fort,2013-05-08,AM,56.0
9,15th / Franklin,2013-05-08,AM,81.0
10,16th / Grove,2013-05-07,AM,59.0
11,16th / Grove,2013-05-09,PM,42.0
12,23rd / Ellis,2013-05-07,AM,64.0
13,27th / Pleasanton,2013-05-09,PM,53.0
14,27th / State,2013-05-07,PM,42.0
15,36th / Hill / Catalpa,2013-05-09,PM,90.0
16,Beacon / Parkcenter,2013-05-09,AM,31.0
17,Boise / Apple,2013-05-07,PM,42.0
18,Boise / Protest,2013-05-07,AM,136.0
19,Broadway / N Greenbelt,2013-05-08,AM,119.0
20,Broadway / N Greenbelt,2013-05-08,PM,195.0
21,Broadway / Warm Springs,2013-05-09,AM,47.0
22,Chinden / Garrett,2013-05-08,PM,47.0
23,Eagle / Greenbelt,2013-05-07,PM,6.0
24,Emerald / Americana / Latah,2013-05-09,PM,116.0
25,Emerald / Five Mile,2013-05-09,PM,47.0
26,Emerald / Roosevelt,2013-05-07,AM,46.0
27,Federal Way / Gowen,2013-05-07,AM,19.0
28,Federal Way / Kootenai,2013-05-07,PM,53.0
29,Friendship Bridge / Greenbelt N,2013-05-09,AM,242.0
30,Friendship Bridge / Greenbelt S,2013-05-07,PM,406.0
31,Garden / Emerald,2013-05-09,AM,27.0
32,Glenwood / Marigold,2013-05-07,AM,72.0
33,Hill / Bogus Basin,2013-05-08,PM,95.0
34,Hill / Castle,2013-05-07,PM,33.0
35,Hill / Collister,2013-05-07,PM,58.0
36,Hill / Gary,2013-05-07,AM,19.0
37,Hill / Gary,2013-05-07,PM,27.0
38,Hill / Gary,2013-05-09,AM,17.0
39,Hill / Gary,2013-05-09,PM,72.0
40,Hill / Horseshoe Bend,2013-05-07,PM,25.0
