Street_name,Location,2010,2011,2012-May,2012-September,2013-May,2013-September,2014-May,2014-September,2015-May,2019-May,Total,Average
Fairview,27th / Fairview,0.0,0.0,0.0,0.0,0.0,53.0,36.0,0.0,0.0,0.0,89,44.5
Pleasanton,27th / Pleasanton,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53,53.0
State,27th / State,35.0,0.0,0.0,0.0,42.0,43.0,0.0,43.0,0.0,0.0,197,39.4
Sunset,28th / Sunset,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,23.0
Greenbelt,36th / Greenbelt,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,68.0
Hill,36th / Hill,74.0,0.0,115.0,0.0,90.0,91.0,0.0,55.0,0.0,0.0,558,79.71428571428571
Taft,36th / Taft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22,22.0
Taft,39th / Taft,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32.0
Greenbelt,42nd / Greenbelt,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0
Ustick,43rd / Ustick,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,34.0
Alworth,50th / Alworth,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,30,15.0
Americana,Americana / Greenbelt N,0.0,327.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,800,266.6666666666667
Amity,Amity / Holcomb,20.0,0.0,0.0,0.0,0.0,18.0,16.0,26.0,0.0,0.0,80,20.0
ParkCenter,Beacon / Parkcenter,0.0,0.0,134.0,0.0,31.0,0.0,35.0,0.0,0.0,0.0,200,66.66666666666667
Caswell,Bogart / Caswell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8,8.0
State,Bogart / State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,6.0
Cartwright,Bogus Basin / Cartwright,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90.0
Boise,Boise / Apple,61.0,0.0,0.0,0.0,42.0,55.0,54.0,78.0,0.0,0.0,379,54.142857142857146
Bergeson,Boise / Bergeson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16,16.0
Laedville,Boise / Leadville,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65,65.0
Protest,Boise / Protest,105.0,0.0,0.0,156.0,136.0,0.0,124.0,173.0,0.0,0.0,723,120.5
Broadway,Broadway / Greenbelt,0.0,0.0,0.0,306.0,195.0,0.0,0.0,0.0,0.0,0.0,501,250.5
University,Broadway / University,0.0,0.0,0.0,124.0,0.0,0.0,0.0,41.0,0.0,0.0,165,82.5
Warm Springs,Broadway / Warm Springs,0.0,58.0,0.0,64.0,47.0,73.0,65.0,62.0,0.0,0.0,567,70.875
Curtis,Cassia / Curtis,45.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,114,38.0
Garret,Chinden / Garrett,0.0,61.0,78.0,25.0,47.0,36.0,76.0,0.0,0.0,0.0,323,53.833333333333336
Cloverdale,Cloverdale / La Grange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
McMillan,Cloverdale / McMillan,56.0,100.0,0.0,64.0,0.0,0.0,50.0,60.0,0.0,0.0,441,63.0
Collister,Collister / Catalpa,43.0,59.0,56.0,0.0,0.0,43.0,51.0,49.0,0.0,0.0,351,43.875
Collister,Collister / State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17,17.0
Northview,Curtis / Northview,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66,66.0
River Meadow,Eagle / River Meadow,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,21,10.5
Eagle,Eagle / State,0.0,0.0,0.0,26.0,0.0,15.0,0.0,21.0,0.0,0.0,62,20.666666666666668
Latah,Emerald / Americana / Latah,130.0,0.0,155.0,0.0,116.0,129.0,134.0,182.0,0.0,0.0,846,141.0
Five Mile,Emerald / Five Mile,0.0,0.0,0.0,0.0,47.0,52.0,0.0,0.0,0.0,0.0,99,49.5
